Cod. Cliente;Loja;Município;UF;Zona
247804;1;PIRACICABA;SP;SP1099
500501;1;JUQUITIBA;SP;SP1123
500505;1;INDAIATUBA;SP;SP2214
500510;1;FERRAZ DE VASCONCELOS;SP;SP1106
500513;1;SAO PAULO;SP;SP1104
500515;1;GUARULHOS;SP;SP1117
500519;1;SAO PAULO;SP;SP1104
500521;1;SAO BERNARDO DO CAMPO;SP;SP1103
500522;1;SAO PAULO;SP;SP1105
500526;1;CARAGUATATUBA;SP;SP2219
500527;1;SAO PAULO;SP;SP1115
500529;1;GUARULHOS;SP;SP1117
500533;1;CAMPO LIMPO PAULISTA;SP;SP2214
500536;1;PENAPOLIS;SP;SP2202
500537;1;SAO PAULO;SP;SP1123
500543;1;TATUI;SP;SP2215
500544;1;SAO PAULO;SP;SP1121
500546;1;CAMPO LIMPO PAULISTA;SP;SP2214
500554;1;DIADEMA;SP;1115SP
500554;1;DIADEMA;SP;SP1103
500555;1;SOROCABA;SP;SP2204
500556;1;SAO PAULO;SP;SP1104
500562;1;SAO PAULO;SP;SP1111
500565;1;SAO PAULO;SP;SP1116
500570;1;SAO PAULO;SP;SP1116
500575;1;SAO PAULO;SP;SP1121
500578;1;SAO PAULO;SP;SP1104
500621;1;SAO BERNARDO DO CAMPO;SP;SP1103
500630;1;SAO PAULO;SP;SP1101
500653;2;SAO PAULO;SP;SP1121
500653;1;SAO PAULO;SP;SP1121
500656;1;SAO PAULO;SP;SP1124
500664;1;SAO PAULO;SP;SP1121
500667;1;SAO PAULO;SP;SP1112
500670;1;SAO PAULO;SP;SP1107
500672;1;OLIMPIA;SP;SP2212
500679;1;RIBEIRAO PRETO;SP;SP2212
500681;1;SANTO ANDRE;SP;SP1118
500687;1;IBIRA;SP;SP2206
500696;1;SAO PAULO;SP;SP1121
500701;1;SAO JOAO DA BOA VISTA;SP;2220SP
500701;1;SAO JOAO DA BOA VISTA;SP;SP2100
500701;2;SAO JOAO DA BOA VISTA;SP;SP2100
500703;1;SAO PAULO;SP;SP1107
500705;1;CASA BRANCA;SP;SP2208
500709;1;SAO PAULO;SP;SP1111
500710;1;MARINOPOLIS;SP;SP2213
500716;1;SAO PAULO;SP;SP1115
500727;1;JACAREI;SP;2100SP
500728;1;SAO BERNARDO DO CAMPO;SP;SP1103
500730;1;SAO PAULO;SP;SP1112
500733;1;JALES;SP;SP2213
500736;1;BARRETOS;SP;SP2000
500739;1;SAO PAULO;SP;SP1104
500745;1;SANTO ANDRE;SP;SP1118
500755;1;SAO PAULO;SP;SP1104
500760;1;SAO PAULO;SP;SP1121
500763;1;SAO PAULO;SP;SP1104
500767;1;SAO BERNARDO DO CAMPO;SP;SP1103
500775;1;AVARE;SP;SP2207
500777;1;SAO LOURENCO DA SERRA;SP;SP1123
500778;1;ITANHAEM;SP;SP2215
500785;1;VARZEA PAULISTA;SP;SP2214
500787;1;SAO PAULO;SP;SP1115
500789;1;GUARAREMA;SP;SP2216
500791;1;TABOAO DA SERRA;SP;SP1123
500822;1;SAO PAULO;SP;SP1115
500827;1;EMBU DAS ARTES;SP;SP1123
500831;1;INDIAPORA;SP;SP2213
500832;1;PIRACICABA;SP;SP2217
500839;1;SAO PAULO;SP;SP1107
500844;1;JAU;SP;SP2207
500846;1;CEDRAL;SP;SP2206
500848;1;SAO PAULO;SP;SP1101
500850;1;SAO PAULO;SP;SP1121
500853;1;MOGI DAS CRUZES;SP;SP2216
500860;1;PRESIDENTE EPITACIO;SP;SP2209
500861;1;TAUBATE;SP;SP2219
500863;1;ARUJA;SP;SP1116
500871;1;CAMPINA DO MONTE ALEGRE;SP;SP2215
